step    angle
-------------
0    87
1    87.4756
2    87.9429
3    88.3939
4    88.8203
5    89.214
6    89.5666
7    89.8702
8    90.1163
9    90.297
10    90.4039
11    90.4289
12    90.3637
13    90.2003
14    89.9303
15    89.5457
16    89.0381
17    88.3995
18    87.6216
19    86.6963
20    85.6152
21    84.3704
22    82.9535
23    81.3563
24    79.5707
25    77.5886
26    75.4016
27    73.0015
28    70.3803
29    67.5297
30    64.4416
31    61.1076
32    57.5197
33    53.6696
34    49.5491
35    45.1502
36    40.4644
37    35.4838
38    30.2
39    24.6106
40    18.7358
41    12.6016
42    6.23392
43    -0.341319
44    -7.09816
45    -14.0107
46    -21.0529
47    -28.1988
48    -35.4227
49    -42.6984
50    -50
